active_risk_flags,feasible,first_action_delta_from_reference,primary_risk_family,score_delta_vs_conservative_stabilize,score_delta_vs_zero_bonus_winner,step,template_name,violation_count,violation_field_distribution,violation_reason_distribution,would_beat_zero_bonus_winner
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.019999992847442638}",dry_vent,0.0003749997317792353,-0.05600000000000005,147,conservative_stabilize_dry,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,0.0,-0.056374999731779285,147,conservative_stabilize_high_vpd,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.04874999999999985,-0.10512499973177913,147,conservative_stabilize_dew,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.05420833333333319,-0.11058333306511248,147,conservative_stabilize_canopy_dew,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dry_vent,0.0003749997317792353,-0.05600000000000005,147,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.019999992847442638}",dry_vent,0.0003749997317792353,-0.05600000000000005,148,conservative_stabilize_dry,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,0.0,-0.056374999731779285,148,conservative_stabilize_high_vpd,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.04874999999999985,-0.10512499973177913,148,conservative_stabilize_dew,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.05420833333333319,-0.11058333306511248,148,conservative_stabilize_canopy_dew,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dry_vent,0.0003749997317792353,-0.05600000000000005,148,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.019999992847442638}",dry_vent,0.0003749997317792353,-0.05600000000000005,149,conservative_stabilize_dry,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,0.0,-0.056374999731779285,149,conservative_stabilize_high_vpd,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.04874999999999985,-0.10512499973177913,149,conservative_stabilize_dew,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.05420833333333319,-0.11058333306511248,149,conservative_stabilize_canopy_dew,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dry_vent,0.0003749997317792353,-0.05600000000000005,149,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.019999992847442638}",dry_vent,0.0003749997317792353,-0.05600000000000005,150,conservative_stabilize_dry,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,0.0,-0.056374999731779285,150,conservative_stabilize_high_vpd,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.04874999999999985,-0.10512499973177913,150,conservative_stabilize_dew,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.05420833333333319,-0.11058333306511248,150,conservative_stabilize_canopy_dew,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dry_vent,0.0003749997317792353,-0.05600000000000005,150,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.019999992847442638}",dry_vent,0.0003749997317792353,-0.05600000000000005,151,conservative_stabilize_dry,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,0.0,-0.056374999731779285,151,conservative_stabilize_high_vpd,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.04874999999999985,-0.10512499973177913,151,conservative_stabilize_dew,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.05420833333333319,-0.11058333306511248,151,conservative_stabilize_canopy_dew,0,{},{},False
"[""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dry_vent,0.0003749997317792353,-0.05600000000000005,151,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.005624999999999991,-0.0853749979436399,212,conservative_stabilize_dry,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.00374999999999992,-0.08349999794363983,212,conservative_stabilize_high_vpd,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dew_or_humidity,0.008624999552965251,-0.07112499839067465,212,conservative_stabilize_dew,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.01000000536441803, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": -0.04999998807907102}",dew_or_humidity,0.00662499848008169,-0.07312499946355822,212,conservative_stabilize_canopy_dew,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.00374999999999992,-0.08349999794363983,212,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.005624999999999991,-0.0853749979436399,213,conservative_stabilize_dry,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.00374999999999992,-0.08349999794363983,213,conservative_stabilize_high_vpd,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dew_or_humidity,0.008624999552965251,-0.07112499839067465,213,conservative_stabilize_dew,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.01000000536441803, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": -0.04999998807907102}",dew_or_humidity,0.00662499848008169,-0.07312499946355822,213,conservative_stabilize_canopy_dew,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.00374999999999992,-0.08349999794363983,213,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.005624999999999991,-0.0853749979436399,214,conservative_stabilize_dry,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.00374999999999992,-0.08349999794363983,214,conservative_stabilize_high_vpd,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dew_or_humidity,0.008624999552965251,-0.07112499839067465,214,conservative_stabilize_dew,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.01000000536441803, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": -0.04999998807907102}",dew_or_humidity,0.00662499848008169,-0.07312499946355822,214,conservative_stabilize_canopy_dew,0,{},{},False
"[""humidity_or_dew_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.06, ""u_ventilation"": -0.06000000000000005}",dew_or_humidity,-0.00374999999999992,-0.08349999794363983,214,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""dry_risk"", ""dry_or_high_vpd_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_or_high_vpd,0.001875000000000071,-0.056750000100582954,327,conservative_stabilize_dry,0,{},{},False
"[""dry_risk"", ""dry_or_high_vpd_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_or_high_vpd,0.0,-0.058625000100583025,327,conservative_stabilize_high_vpd,0,{},{},False
"[""dry_risk"", ""dry_or_high_vpd_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_or_high_vpd,-0.04874999999999985,-0.10737500010058287,327,conservative_stabilize_dew,0,{},{},False
"[""dry_risk"", ""dry_or_high_vpd_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_or_high_vpd,-0.05420833333333319,-0.11283333343391622,327,conservative_stabilize_canopy_dew,0,{},{},False
"[""dry_risk"", ""dry_or_high_vpd_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.03000000268220901}",dry_or_high_vpd,0.002625000100582975,-0.05600000000000005,327,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.019999992847442638}",dry_vent,0.0003749997317792353,-0.05600000000000005,328,conservative_stabilize_dry,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,0.0,-0.056374999731779285,328,conservative_stabilize_high_vpd,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.04874999999999985,-0.10512499973177913,328,conservative_stabilize_dew,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.05420833333333319,-0.11058333306511248,328,conservative_stabilize_canopy_dew,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dry_vent,0.0003749997317792353,-0.05600000000000005,328,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.019999992847442638}",dry_vent,0.0003749997317792353,-0.05600000000000005,329,conservative_stabilize_dry,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,0.0,-0.056374999731779285,329,conservative_stabilize_high_vpd,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.04874999999999985,-0.10512499973177913,329,conservative_stabilize_dew,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.05420833333333319,-0.11058333306511248,329,conservative_stabilize_canopy_dew,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dry_vent,0.0003749997317792353,-0.05600000000000005,329,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.019999992847442638}",dry_vent,0.0003749997317792353,-0.05600000000000005,330,conservative_stabilize_dry,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,0.0,-0.056374999731779285,330,conservative_stabilize_high_vpd,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.04874999999999985,-0.10512499973177913,330,conservative_stabilize_dew,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.05420833333333319,-0.11058333306511248,330,conservative_stabilize_canopy_dew,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dry_vent,0.0003749997317792353,-0.05600000000000005,330,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.019999992847442638}",dry_vent,0.0003749997317792353,-0.05600000000000005,331,conservative_stabilize_dry,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,0.0,-0.056374999731779285,331,conservative_stabilize_high_vpd,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.04874999999999985,-0.10512499973177913,331,conservative_stabilize_dew,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.05420833333333319,-0.11058333306511248,331,conservative_stabilize_canopy_dew,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.0}",dry_vent,0.0003749997317792353,-0.05600000000000005,331,conservative_stabilize_dry_vent_guard,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.019999992847442638}",dry_vent,0.0003749997317792353,-0.05600000000000005,332,conservative_stabilize_dry,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.0, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,0.0,-0.056374999731779285,332,conservative_stabilize_high_vpd,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.04874999999999985,-0.10512499973177913,332,conservative_stabilize_dew,0,{},{},False
"[""dry_risk"", ""high_vpd"", ""dry_or_high_vpd_risk"", ""dry_vent_risk""]",True,"{""u_co2"": 0.0, ""u_heating"": 0.06, ""u_lighting"": 0.0, ""u_screen"": 0.0, ""u_shading"": 0.0, ""u_ventilation"": 0.06}",dry_vent,-0.05420833333333319,-0.11058333306511248,332,conservative_stabilize_canopy_dew,0,{},{},False
