conflict_priority_reason,conflict_type,dew_or_canopy_risk_active,dry_risk_active,dry_severity,hour_of_day,resolved_risk_family,resolved_template_family,risk_combo_id,severe_dew_or_canopy_risk,step,strong_guard_allowed
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,8.75,dew_or_humidity,dew_canopy,dew_or_humidity,False,611,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,9.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,612,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,9.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,613,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,9.5,dew_or_humidity,dew_canopy,dew_or_humidity,False,614,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,9.75,dew_or_humidity,dew_canopy,dew_or_humidity,False,615,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,10.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,616,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,11.75,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,623,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,12.0,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,624,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,12.25,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,625,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,12.5,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,626,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,12.75,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,627,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,13.0,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,628,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,13.25,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,629,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,13.5,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,630,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,13.75,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,631,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,14.0,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity,True,632,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,14.25,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity,True,633,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,14.5,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity,True,634,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,14.75,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity,True,635,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,15.0,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity,True,636,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,15.25,canopy_dew_lt0,dew_canopy,canopy_dew_lt0+dew_or_humidity,True,637,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,15.5,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,638,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,15.75,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,639,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,16.0,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,640,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,16.25,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,641,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,16.5,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,642,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,16.75,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,643,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,17.0,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,644,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,17.25,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,645,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,17.5,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,646,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,17.75,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,647,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,18.0,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,648,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,18.25,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,649,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,18.5,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,650,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,18.75,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,651,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,19.0,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,652,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,19.25,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,653,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,19.5,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,654,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,19.75,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,655,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,20.0,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,656,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,20.25,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,657,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,20.5,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,658,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,20.75,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,659,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,21.0,canopy_dew_lt1,dew_canopy,canopy_dew_lt1+dew_or_humidity,False,660,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,21.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,661,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,21.5,dew_or_humidity,dew_canopy,dew_or_humidity,False,662,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,21.75,dew_or_humidity,dew_canopy,dew_or_humidity,False,663,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,22.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,664,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,22.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,665,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,22.5,dew_or_humidity,dew_canopy,dew_or_humidity,False,666,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,22.75,dew_or_humidity,dew_canopy,dew_or_humidity,False,667,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,23.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,668,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,23.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,669,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,23.5,dew_or_humidity,dew_canopy,dew_or_humidity,False,670,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,23.75,dew_or_humidity,dew_canopy,dew_or_humidity,False,671,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,0.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,672,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,0.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,673,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,0.5,dew_or_humidity,dew_canopy,dew_or_humidity,False,674,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,0.75,dew_or_humidity,dew_canopy,dew_or_humidity,False,675,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,1.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,676,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,1.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,677,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,1.5,dew_or_humidity,dew_canopy,dew_or_humidity,False,678,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,1.75,dew_or_humidity,dew_canopy,dew_or_humidity,False,679,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,2.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,680,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,2.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,681,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,2.5,dew_or_humidity,dew_canopy,dew_or_humidity,False,682,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,2.75,dew_or_humidity,dew_canopy,dew_or_humidity,False,683,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,4.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,688,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,4.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,689,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,4.5,dew_or_humidity,dew_canopy,dew_or_humidity,False,690,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,4.75,dew_or_humidity,dew_canopy,dew_or_humidity,False,691,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,5.0,dew_or_humidity,dew_canopy,dew_or_humidity,False,692,False
dew_canopy_template_allowed,dew_or_canopy_only,True,False,none,5.25,dew_or_humidity,dew_canopy,dew_or_humidity,False,693,False
